freq_GHz,a,b,D,C,p_opt1,p_opt2,sigma2_1,sigma2_2,mu
170.00,3.5526,3.5526,500,417757003.394609,0.668179,0.331821,0.000000,0.000000,0.790152
170.00,3.5621,3.5621,500,432593192.863096,0.582152,0.417848,0.000000,0.000000,0.722944
170.00,3.5716,3.5716,500,441636486.021304,0.526583,0.473417,0.000000,0.000000,0.696272
170.00,3.5811,3.5811,500,442181246.756253,0.520678,0.479322,0.000000,0.000000,0.694866
170.00,3.5906,3.5906,500,434035346.775741,0.574644,0.425356,0.000000,0.000000,0.718206
170.00,3.6001,3.6001,500,419442007.731545,0.656393,0.343607,0.000000,0.000000,0.780019
170.00,3.6096,3.6096,500,406098785.998423,0.818729,0.181271,0.000000,0.000000,0.929306
170.00,3.6191,3.6191,500,411492851.059813,1.000000,0.000000,0.000000,0.000000,1.102342
170.00,3.6286,3.6286,500,418662690.544298,1.000000,0.000000,0.000000,0.000000,1.097784
170.00,3.6381,3.6381,500,421016564.901241,1.000000,0.000000,0.000000,0.000000,1.096336
170.00,3.6476,3.6476,500,418569466.061663,1.000000,0.000000,0.000000,0.000000,1.097842
170.00,3.6572,3.6572,500,411228011.663754,1.000000,0.000000,0.000000,0.000000,1.102514
170.00,3.6667,3.6667,500,406405839.691488,0.809055,0.190945,0.000000,0.000000,0.920058
170.00,3.6762,3.6762,500,420390453.645381,0.650125,0.349875,0.000000,0.000000,0.774712
170.00,3.6857,3.6857,500,435011444.126059,0.569483,0.430517,0.000000,0.000000,0.715115
170.00,3.6952,3.6952,500,442567608.282756,0.515302,0.484698,0.000000,0.000000,0.693880
170.00,3.7047,3.7047,500,440805337.020878,0.533875,0.466125,0.000000,0.000000,0.698454
170.00,3.7142,3.7142,500,430102784.634038,0.595037,0.404963,0.000000,0.000000,0.731661
170.00,3.7237,3.7237,500,414142087.928328,0.697286,0.302714,0.000000,0.000000,0.815886
170.00,3.7332,3.7332,500,405289759.677294,0.927764,0.072236,0.000000,0.000000,1.034814
170.00,3.7427,3.7427,500,414963371.433525,1.000000,0.000000,0.000000,0.000000,1.100107
170.00,3.7523,3.7523,500,420276228.291038,1.000000,0.000000,0.000000,0.000000,1.096789
170.00,3.7618,3.7618,500,420471074.517047,1.000000,0.000000,0.000000,0.000000,1.096669
